report_year,passage_id,word_count,topic_model_excluded,topic_model_exclusion_reason,topic_model_text
1890,1890_0002,183,False,,such tables and figures as i can with any certainty produce for your acceptance will be forthcoming and we must rest satisfied with such rather crude materials until the advent of a new census places us in a position more secure i have hitherto relied upon calculations founded upon the birth rates determined by the census years 1871 and 1881 a glance at the tables i have prepared and which i here introduce will prove that in the first table the last two columns cannot be devoid of error when they are considered by the light of the preceding columns together with some of the other tables which i append to this report nor would reflection lead us to imagine that the estimates contained in the two columns referred to were very trustworthy because they pre suppose the stationary condition of the birth rate whereas it is probable that the birth rate of the whitechapel population has increased such increase in the birth rate is rendered more probable in our district by reason of the great addition it has received during the last few years to the number of its
1890,1890_0007,179,False,,table i where i have contrasted the metropolitan and district deaths from each class of disease a result very much in accord with that noted in previous years is apparent the zymotic deaths are fewer amongst the whitechapel residents whilst the deaths from respiratory and constitutional diseases are more than those recorded for the entire metropolis this is what we should have anticipated because so many of the residents are employed in dock labour and river side work not a single death is entered under the heading of small pox in fact only 3 metropolitan deaths were registered as due to that disease as the third volume of the evidence taken by the royal commission on vaccination has recently been published it is probable that before long the report of the commission will be laid before parliament i have read very critically the evidence which is very exhaustive and to my mind it seems clear that the page 26 page 28 7 death blow has been given to the arguments of the opponents to vaccination that vaccination and early re vaccination can combat small pox is conclusively proved
1890,1890_0008,212,False,,at the same time of course due attention to improved sanitation is advisable and in every case immediate isolation should be enforced measles whooping cough diphtheria and diarrh a were fatal respectively in 59 52 53 and 59 cases whilst all the other named 16 zymotic diseases proved fatal in 50 instances scarlet fever was responsible for 17 deaths the notification of infectious diseases act has been in operation during the year from table o may be gleaned the enormous amount of labour which has been imposed upon your sanitary staff by its provisions for it must be borne in mind that every case has been inquired into and in every case thorough disinfection has been carried out your inspectors have furnished me with a report detailing to some extent their work in this and other matters it contains an epitome of their efforts for the welfare of the district and therefore whilst according to them personally my thanks for their co operation i have re produced the chief items contained in their report for your information table p tabulatos the most important items of the inspectors' work for the year and i am pleased to inform you that progress has been made in the sytematic house to house inspection through the district which i foreshadowed in my last annual report
1890,1890_0010,181,False,,by the kindness of your surveyor i am 9 permitted to introduce a brief statement concerning the chief features of the district mortuary and coroner's court etc which will be executed after the plans of mr w la riviere he thus describes the proposed works the buildings are to be erected upon brick arches girders and columns all upon one floor the dimensions of the different rooms being as follows coroner's court 16 feet by 23 feet lighted from above and side lights from george yard coroner's consulting room lavatory attached 9 feet by 12 feet light from george yard waiting room 10 feet by 12 lavatory attached lighted from destructor yard post mortem room 15 feet by 12 feet lighted from above and destructor yard with necessary hot and cold water apparatus infectious mortuary 14 feet by 12 feet lighted from george yard hebrew mortuary 16 feet by 12 feet lighted from george yard hebrew watcher's room and lavatories attached lighted from george yard catacomb mortuary comprising ten separate compartments with independent ventilation to each and lighted and ventilated from above viewing lobby to mortuaries 14 feet by 14 feet lighted and ventilated from above
1890,1890_0011,173,False,,lift provided from ground floor into viewing lobby landing in centre of building lighted and ventilated from above the floors to the post mortem room mortuaries catacombs viewing lobby watcher's room and w c formed with portland cement the floors to waiting rooms lavatory coroner's court and w c formed with pitch pine wood blocks laid herring bone pattern uncertified deaths only 3 uncertified deaths occurred viz a male aged one hour certified by a midwife as premature birth this was in the goodman's fields sub district in the spitalfields sub district two deaths were stated to be due to bronchitis one was a b 10 woman aged 38 and the other a girl aged two years all were registered by instruction of the coroner without inquests water supply to the district from the published monthly returns furnished by the experts who examine regularly into the condition of the water supplied by the companies it appears that good water has been distributed in sufficient quantity during the year constant service is the mode of supply nearly throughout the district
1890,1890_0016,170,False,,for the whole metropolis 9 0 per cent of cases remained finally unaccounted for meteorological returns the concluding statistical work for the year which i propose to append as usual are the meteorological tables they deserve more careful scrutiny than i am afraid they usually receive legislation during the year 1890 the enactment which has priority on account of its importance is the housing of the working classes act 1890 53 and 54 vict ch 70 this act consolidates and amends as also repeals cross's act torrens' act and their amendments as well as the labouring classes dwellings acts of 1851 1866 and 1867 the housing of the working classes act 1885 except sections 3 7 9 and 10 so far as the latter relates to bye laws it also repeals the labouring classes lodging houses england act of 1851 and the labouring classes lodging houses ireland acts and the dwelling houses scotland act it is divided into seven parts which contain 103 sections certain temporary provisionsand seven schedules are also included in this act part i may for all practical purposes be thought of as cross's act
1890,1890_0017,181,False,,part ii is torrens' act much amended it gives power to local authorities to prepare schemes very similiar to the arrangement in part i an element of doubtful benefit has been the substitution of the medical officer for the surveyor as the official upon whom is cast the chief responsibility in its execution it appears to have been amended with a view to compel local authorities to execute large improvements which hitherto had fallen to the lot of the central authority the latter 14 at its option has power to contribute towards the cost and herein lies the germ of future discontent and trouble as the london county council has not hesitated to declare its intention to share the cost only when an improvement partakes more or less of the nature of a metropolitan improvement an appeal to c sar in the event of a difference of opinion is provided for as the home secretary has important functions in the case of dispute part iii belongs to the county council and is in reality lord shaftesbury's acts which relate to lodging houses
1890,1890_0018,197,False,,part iv is supplemental to the foregoing parts of the act parts v and vi apply respectively to scotland and ireland part vii names the sections of or the entire acts which are repealed and also contains the schedules and temporary provisions i do not propose to detail the many advantages and the objections which this act contain certain points are difficult to understand and only in practice can the entire merits be declared patent it has obviously been the desire of the framers of this act to enlarge the powers of the local authorities in dealing with insanitary dwellings and i am glad to be in a position to state that so far as your board is concerned such object will be most loyally seconded infectious diseases prevention act 1890 53 and 54 vict ch 34 this act became operative on the 4th december last your board during the same month decided to inforce all the provisions contained in it the act has reference to the inspection of dairies under certain conditions it also gives power to prohibit the supply of milk within a district when such supply reasonably appears to have been the cause of the introduction of disease therein
1890,1890_0019,158,False,,its other sections have reference to the cleansing and disinfecting of premises bedding etc as well as providing a penalty on persons causing rooms where infectious diseases have appeared to be let without declaring what has taken place precautions regarding the dead etc and other important provisions concerning sanitary matters are contained in this act which consists of 34 sections 15 customs and inland revenue act 1890 54 vict ch 8 section 26 2 previous to the passing of this act a treasury minute had conceded to certain owners of property that which is contained in the section i have named it is certainly remarkable that until it became law nothing was known amongst local vestries or district boards of this provision concerning a matter which imposes much responsibility and great labour upon medical officers of health the secftion mentioned was brought to your notice as well as to mine by a letter dated 19th september 1890 and signed by the secretary of the local government board
1890,1890_0020,169,False,,the certificate is to be obtained from the medical officer for health for the district in which the house is situate or from some other medical practioner appointed as hereinafter mentioned the act makes it the duty of the medical officer of health of a district on request by the person who would be liable to pay the house duty on any house in the district if the duty were not discharged by the commissioners to examine the house for the purpose of ascertaining whether a certificate can properly be given and if the house is constructed so as to afford suitable accommodation for each of the families or persons inhabiting it and due provision is made for their sanitary requirements he must certify the same accordingly the act however provides that where the authority by 16 whom the medical officer of health is appointed are of opinion that the duties which would thus devolve on him could not be performed by him without interference with the due performance of
