report_year,passage_id,term,category,word_count,passage_text,source_file
1890,1890_0007,smallpox,disease,179,"Table I �, where I have contrasted the Metropolitan and District deaths from each class of disease. A result very much in accord with that noted in previous years is apparent. The zymotic deaths are fewer amongst the Whitechapel residents, whilst the deaths from Respiratory and Constitutional diseases are more than those recorded for the entire Metropolis. This is what we should have anticipated, because so many of the residents are employed in dock labour and river-side work. Not a single death is entered under the heading of Small-pox. In fact only 3 Metropolitan deaths were registered as due to that disease. As the third volume of the evidence taken by the Royal Commission on Vaccination has recently been published, it is probable that before long the Report of the Commission will be laid before Parliament. I have read very critically the evidence, which is very exhaustive, and to my mind it seems clear that the * Page 26. � Page 28. 7 death-blow has been given to the arguments of the opponents to vaccination. That vaccination and early re-vaccination can combat small-pox is conclusively proved.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,diphtheria,disease,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,isolation,disease,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,measles,disease,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,notification,disease,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,scarlet fever,disease,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,inspection,governance,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,sanitary,sanitary,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0008,sanitation,sanitary,212,"At the same time, of course, due attention to improved sanitation is advisable, and in every case immediate isolation should be enforced. Measles, Whooping Cough, Diphtheria, and Diarrh�a, were fatal respectively in 59, 52, 53, and 59 cases, whilst all the other named 16 zymotic diseases proved fatal in 50 instances. Scarlet Fever was responsible for 17 deaths. The ""Notification of Infectious Diseases Act"" has been in operation during the year. From Table O * may be gleaned the enormous amount of labour which has been imposed upon your Sanitary staff by its provisions, for it must be borne in mind that every case has been inquired into, and in every case thorough disinfection has been carried out. Your Inspectors have furnished me with a Report detailing to some extent their work in this and other matters. It contains an epitome of their efforts for the welfare of the district, and therefore, whilst according to them personally my thanks for their co-operation, I have re-produced the chief items contained in their report for your information. Table P� tabulatos the most important items of the Inspectors' work for the year, and I am pleased to inform you that progress has been made in the sytematic house to house inspection through the district, which I foreshadowed in my last annual report.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
1890,1890_0010,rooms,housing,181,"By the kindness of your Surveyor I am 9 permitted to introduce a brief statement concerning the chief features of the District Mortuary and Coroner's Court, etc., which will be executed after the plans of Mr. W. La Riviere. He thus describes the proposed works :� The buildings are to be erected upon brick Arches, Girders, and Columns, all upon one floor, the dimensions of the different rooms being as follows :� Coroner's Court, 16 feet by 23 feet, lighted from above and side lights from George Yard. Coroner's Consulting Room, Lavatory attached, 9 feet by 12 feet, light from George Yard. Waiting Room, 10 feet by 12, Lavatory attached, lighted from Destructor Yard. Post Mortem Room, 15 feet by 12 feet, lighted from above and Destructor Yard (with necessary hot and cold water apparatus.) Infectious Mortuary, 14 feet by 12 feet, lighted from George Yard. Hebrew Mortuary, 16 feet by 12 feet, lighted from George Yard, Hebrew Watcher's Room and Lavatories attached, lighted from George Yard. Catacomb Mortuary, comprising ten separate compartments, with independent ventilation to each, and lighted and ventilated from above. Viewing Lobby to Mortuaries, 14 feet by 14 feet, lighted and ventilated from above.",data/raw/moh/Whitechapel_1890_b19883651_fulltext.txt
